Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
340,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-097,1998,6.5,21,3.24,14,0,1,1,3,2,0,0.00,0,0,0,0,0,0,Matches,089667a5
341,Angelo Ogbonna,it ITA,DF,West Ham,34-241,1988,2.3,2,0.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,74b2cd7e
342,Michael Olise,fr FRA,MFFW,Crystal Palace,21-038,2001,13.1,56,4.28,30,15,5,3,2,1,4,0.31,1,3,0,0,0,0,Matches,c4486bac
343,Robin Olsen,se SWE,GK,Aston Villa,33-011,1990,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e7ee38c3
344,Amadou Onana,be BEL,MF,Everton,21-156,2001,14.5,17,1.17,13,0,0,1,3,0,1,0.07,1,0,0,0,0,0,Matches,828657ff
345,Josh Onomah,eng ENG,MF,Fulham,25-267,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6612cd8c
346,Frank Onyeka,ng NGA,MF,Brentford,25-018,1998,4.9,12,2.44,8,0,0,1,3,0,4,0.81,3,0,0,0,1,0,Matches,2944f86f
347,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-157,1993,3.4,9,2.64,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,38c7feef
348,João Palhinha,pt POR,MF,Fulham,27-194,1995,18.7,13,0.69,9,0,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches,a78ff07f
349,Cole Palmer,eng ENG,FWMF,Manchester City,20-258,2002,1.2,5,4.13,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dc7f8a28
350,Emerson Palmieri,it ITA,DFMF,West Ham,28-169,1994,3.2,6,1.88,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0bc6fdc
